index,title,author,litres mark,litres votes,livelib mark,livelib votes,path
468,Кроу. Суровые земли, Дем Михайлов,4.7,139,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Кроу. Суровые земли - Дем Михайлов.txt
469,Игра под названием _ЖИЗНЬ_, Илья Котов,5.0,18,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Игра под названием _ЖИЗНЬ_ - Илья Котов.txt
470,А я не верил в экстрасенсов. Дилогия, Игорь Леонидович Козырев,4.4,53,4.0,126,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/А я не верил в экстрасенсов. Дилогия - Игорь Леонидович Козырев.txt
471,Дем Михайлов.Орбит Дерриано. Путь паладина., Руслан Алексеевич Михайлов,4.7,617,4.3,359,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Дем Михайлов.Орбит Дерриано. Путь паладина. - Руслан Алексеевич Михайлов.txt
472,Галактиона. Поиск ульдан, Василий Маханенко,4.6,137,3.7,43,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Галактиона. Поиск ульдан - Василий Маханенко.txt
473,Менталист. Эмансипация, Андрей Еслер,4.2,7,3.5,7,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Менталист. Эмансипация - Андрей Еслер.txt
474,Игра Богов. Эпизод I, Сергей Байдюк,4.8,35,4.6,224,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Игра Богов. Эпизод I - Сергей Байдюк.txt
475,"Игрок, забравшийся на вершину. Том 5. ", Leach23,4.1,138,3.3,80,"/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Игрок, забравшийся на вершину. Том 5. - Leach23.txt"
476,Элита. Повесть о космических пилотах, Сергей Савкин & Кирилл Злонский,4.0,11,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Элита. Повесть о космических пилотах - Сергей Савкин & Кирилл Злонский.txt
477,Карты судьбы 4. Слово лорда, Антон Емельянов & Сергей Сергей Савинов,4.5,92,4.6,13,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Карты судьбы 4. Слово лорда - Антон Емельянов & Сергей Сергей Савинов.txt
478,Защита Периметра. Игра без правил, Михаил Александрович Атаманов,4.9,478,4.5,153,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Защита Периметра. Игра без правил - Михаил Александрович Атаманов.txt
479,Океанский патруль. Том 1, Валентин Саввич Пикуль,4.5,42,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Океанский патруль. Том 1 - Валентин Саввич Пикуль.txt
480,Перекресток миров. Книга первая. Метеор,Сити,4.6,39,4.7,23,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Перекресток миров. Книга первая. Метеор-Сити - Джон Голд.txt
481,Шкуры из стали, Денис Владимиров,4.3,79,3.8,4,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Шкуры из стали - Денис Владимиров.txt
482,Опыт на продажу, Тимур Сабаев,4.3,10,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Опыт на продажу - Тимур Сабаев.txt
