index,title,author,litres mark,litres votes,livelib mark,livelib votes,path
663,Нас здесь не было. Холодный мир, Олег Здрав,4.4,80,3.8,45,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Нас здесь не было. Холодный мир - Олег Здрав.txt
664,По имени Шерлок. Книга 1, Светлана Шевцова,4.6,7,4.4,243,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/По имени Шерлок. Книга 1 - Светлана Шевцова.txt
665,Киллхантер, Денис Владимиров,4.2,102,4.0,16,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Киллхантер - Денис Владимиров.txt
666,Джим. На стыке Империй, Евгений Катрич,4.5,42,2.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Джим. На стыке Империй - Евгений Катрич.txt
667,Новая жизнь. Клан возрожденных., Алексей Владимирович Чтец,4.8,2168,4.3,1117,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Новая жизнь. Клан возрожденных. - Алексей Владимирович Чтец.txt
668,Сердце Дракона. Том 8 (СИ), Кирилл Сергеевич Клеванский,4.8,101,4.7,237,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Сердце Дракона. Том 8 (СИ) - Кирилл Сергеевич Клеванский.txt
669,Не великий_ убийца великанов., Игорь Чернышов & Alex sanguin,5.0,1,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Не великий_ убийца великанов. - Игорь Чернышов & Alex sanguin.txt
670,Тихий Дон. Том 2, Михаил Александрович Шолохов,4.7,1136,4.3,8833,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Тихий Дон. Том 2 - Михаил Александрович Шолохов.txt
671,Безграничный мир. Крепость., S1,4.3,255,3.7,68,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Безграничный мир. Крепость. - S1.txt
672,Книга народной мудрости, Иван Михайлович Снегирев,None,None,4.0,2,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Книга народной мудрости - Иван Михайлович Снегирев.txt
673,Связующий, Антон Демченко,4.6,203,4.0,8,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Связующий - Антон Демченко.txt
674,Хадар. Игра, Артем Дем,4.8,58,3.0,10,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Хадар. Игра - Артем Дем.txt
675,Крейцерова соната (Сборник), Лев Николаевич Толстой,4.9,122,4.1,58,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Крейцерова соната (Сборник) - Лев Николаевич Толстой.txt
676,Сталь против Пламени, Кондратов Александр,4.0,5,3.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Сталь против Пламени - Кондратов Александр.txt
677,Искажающие реальность. Фракция H13. Книга 2. Рубеж., Владимир Лушник,4.8,577,4.5,118,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Искажающие реальность. Фракция H13. Книга 2. Рубеж. - Владимир Лушник.txt
678,"Гиперболоид инженера Гарина. Аэлита. Похождения Невзорова, или Ибикус ", Алексей Николаевич Толстой,4.6,206,4.1,2324,"/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Гиперболоид инженера Гарина. Аэлита. Похождения Невзорова, или Ибикус - Алексей Николаевич Толстой.txt"
679,Толлеус. Изгой, Анджей Ясинский & Дмитрий Александрович Коркин,4.2,71,4.2,45,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Толлеус. Изгой - Анджей Ясинский & Дмитрий Александрович Коркин.txt
680,Гуттаперчевый мальчик (сборник), Дмитрий Васильевич Григорович,4.4,350,4.3,27,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Гуттаперчевый мальчик (сборник) - Дмитрий Васильевич Григорович.txt
681,Звёздный волк, Евгений Щепетнов,4.0,80,3.9,19,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Звёздный волк - Евгений Щепетнов.txt
682,Призрачный Сервер. Книга 3. Черное Солнце, Андрей Львович Ливадный,4.5,218,4.4,83,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Призрачный Сервер. Книга 3. Черное Солнце - Андрей Львович Ливадный.txt
683,За кулисами. 6, Прочерк Игорь Анатольевич,3.0,16,5.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/За кулисами. 6 - Прочерк Игорь Анатольевич.txt
684,Избранная проза, Саша Черный,5.0,6,5.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Избранная проза - Саша Черный.txt
685,Вы призвали не того_. Книга 2 (СИ), Тимур Аскарович Айтбаев,4.5,102,4.4,1934,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Вы призвали не того_. Книга 2 (СИ) - Тимур Аскарович Айтбаев.txt
686,Постигающий, Павел Абсолют,4.4,80,4.4,3,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Постигающий - Павел Абсолют.txt
687,Отвергнутые Боги Годвигула. Книга вторая, Крис Кельм,4.5,166,3.8,28,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Отвергнутые Боги Годвигула. Книга вторая - Крис Кельм.txt
688,Эпоха Войн. Том 2, Максим Грек,4.1,1033,4.5,391,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Эпоха Войн. Том 2 - Максим Грек.txt
689,Безграничный мир. Песочница., S1,4.3,255,3.7,68,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Безграничный мир. Песочница. - S1.txt
690,Первый робинзон Экса, Артем Каменистый,4.1,419,3.7,88,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Первый робинзон Экса - Артем Каменистый.txt
691,Замечательные чудаки и оригиналы, Михаил Иванович Пыляев,4.2,5,4.2,7,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Замечательные чудаки и оригиналы - Михаил Иванович Пыляев.txt
692,Технолог, Сергей Залевский,1.7,76,5.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Технолог - Сергей Залевский.txt
693,Файролл. Пути Востока, Андрей Васильев,4.8,965,4.3,62,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Файролл. Пути Востока - Андрей Васильев.txt
694,Темное Наследие, Валерий Старский,4.7,93,4.0,10,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Темное Наследие - Валерий Старский.txt
695,Мусорщик. Мечта, Евгений Владимирович Щепетнов,4.4,258,4.1,22,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Мусорщик. Мечта - Евгений Владимирович Щепетнов.txt
696,Обреченный взвод, Роман Галкин,3.0,9,4.0,2,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Обреченный взвод - Роман Галкин.txt
697,Смородинский. Тёмный Завет Ушедших 2. Дважды проклятый, Неизвестный,4.7,533,4.3,155,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Смородинский. Тёмный Завет Ушедших 2. Дважды проклятый - Неизвестный.txt
698,Дитё. Князь, Владимир Геннадьевич Поселягин,3.9,98,3.6,14,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Дитё. Князь - Владимир Геннадьевич Поселягин.txt
699,Баронет. Начало пути, Евгений Катрич,4.5,78,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Баронет. Начало пути - Евгений Катрич.txt
700,Война с орками, Милослав Князев,4.5,200,3.8,72,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Война с орками - Милослав Князев.txt
701,Темная империя. Становление, Дмитрий Чвилев,4.4,728,4.3,890,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Темная империя. Становление - Дмитрий Чвилев.txt
702,Стихийник, Анджей Ясинский,4.5,284,4.4,344,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Стихийник - Анджей Ясинский.txt
703,Пират 2. Клан, Алекс Каменев,4.5,7,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Пират 2. Клан - Алекс Каменев.txt
704,Альтрея. Второй шанс, Евгений Михайлович Холодов,4.3,140,3.7,77,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Альтрея. Второй шанс - Евгений Михайлович Холодов.txt
705,Скрижаль Невозможности. Часть I. Рождение ассасина, Михаил Мэйдж,4.0,185,3.7,6,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Скрижаль Невозможности. Часть I. Рождение ассасина - Михаил Мэйдж.txt
706,Пандорум, Роман Прокофьев & Александр Стрельцов,4.6,72,3.7,3,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Пандорум - Роман Прокофьев & Александр Стрельцов.txt
707,Сердце Дракона. Том 7 (СИ), Кирилл Сергеевич Клеванский,4.8,101,4.7,237,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Сердце Дракона. Том 7 (СИ) - Кирилл Сергеевич Клеванский.txt
708,Сердце Дракона. Том 9 (СИ), Кирилл Сергеевич Клеванский,4.8,101,4.7,237,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Сердце Дракона. Том 9 (СИ) - Кирилл Сергеевич Клеванский.txt
709,Конь Рыжий, Алексей Черкасов & Полина Москвитина,4.6,137,4.5,308,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Конь Рыжий - Алексей Черкасов & Полина Москвитина.txt
710,Нулёвка, Андрей Сергеевич Минин,3.8,51,3.0,8,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Нулёвка - Андрей Сергеевич Минин.txt
711,Война и мир. Книга 2, Лев Николаевич Толстой,4.2,271,4.3,3080,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Война и мир. Книга 2 - Лев Николаевич Толстой.txt
712,Клетка без выхода, Роман Глушков,4.0,3,4.3,8,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Клетка без выхода - Роман Глушков.txt
713,Доставка. Книга 2. Тайна аграфов, Владимир Евгеньевич Лукасевич,5.0,4,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Доставка. Книга 2. Тайна аграфов - Владимир Евгеньевич Лукасевич.txt
714,Звездный билет (сборник), Василий Павлович Аксенов,4.4,17,4.4,25,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Звездный билет (сборник) - Василий Павлович Аксенов.txt
715,Темпоральные путешествия_ Первый прыжок, Кирилл Владимирович Мартыненко,4.1,23,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Темпоральные путешествия_ Первый прыжок - Кирилл Владимирович Мартыненко.txt
716,Охота за неприятностями, Пальмира Керлис,4.4,107,4.5,41,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Охота за неприятностями - Пальмира Керлис.txt
717,Скидбладнир. Тени великих, Марк Геннадьевич Кузьмин,4.6,77,4.2,35,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Скидбладнир. Тени великих - Марк Геннадьевич Кузьмин.txt
718,Перевертыш. Часть 1., Владимир Александрович Гаркавый,3.9,138,3.8,4,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Перевертыш. Часть 1. - Владимир Александрович Гаркавый.txt
719,Реалрпг. Маг Света, Дракмир,5.0,671,4.4,6,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Реалрпг. Маг Света - Дракмир.txt
720,Гильдия. (Том 2), Евгений Бергер,4.5,522,4.3,160,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Гильдия. (Том 2) - Евгений Бергер.txt
721,Общий враг., Александр Михайлович Андреев (ЗАК),4.3,109,3.9,57,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Общий враг. - Александр Михайлович Андреев (ЗАК).txt
722,Мертвые души, Николай Васильевич Гоголь,4.5,2177,4.3,20 242,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Мертвые души - Николай Васильевич Гоголь.txt
723,Хроники _Илькоры_. Воссоединение., Тайниковский,4.4,20,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Хроники _Илькоры_. Воссоединение. - Тайниковский.txt
724,Раб Запертых Земель, Артем Каменистый,4.7,954,4.2,436,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Раб Запертых Земель - Артем Каменистый.txt
725,Бремя, Александр Годов,4.7,108,5.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Бремя - Александр Годов.txt
726,Антилия. Полное попадание, Пальмира Керлис,4.7,105,4.3,68,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Антилия. Полное попадание - Пальмира Керлис.txt
727,Раздвигая горизонты, Анджей Ясинский,4.5,164,4.2,55,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Раздвигая горизонты - Анджей Ясинский.txt
728,Судьба человека. Поднятая целина (сборник), Михаил Александрович Шолохов,4.8,104,4.6,379,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Судьба человека. Поднятая целина (сборник) - Михаил Александрович Шолохов.txt
729,Техномаг, Влад Поляков,4.4,49,3.8,15,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Техномаг - Влад Поляков.txt
730,Взлет Роя, Вячеслав Кумин,3.8,110,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Взлет Роя - Вячеслав Кумин.txt
731,Гарт. Одаренный, 3,4.4,113,3.7,27,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Гарт. Одаренный - 3 - Алексей Константинович Чижовский.txt
732,Игрун, Константин Чит,4.2,47,3.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Игрун - Константин Чит.txt
733,Эпоха справедливости. Книга первая. Мгла., Андрей Мороз,4.4,18,4.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Эпоха справедливости. Книга первая. Мгла. - Андрей Мороз.txt
734,"Старуха Изергиль, Макар Чудра и другие… (сборник) ", Максим Горький,4.2,28,4.2,219,"/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Старуха Изергиль, Макар Чудра и другие… (сборник) - Максим Горький.txt"
735,Попаданец. (Том 1), _Добрый_ Человек,4.2,133,3.2,10,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Попаданец. (Том 1) - _Добрый_ Человек.txt
736,Источник. Судья душ, Данила Белый,4.6,2875,4.6,6204,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Источник. Судья душ - Данила Белый.txt
737,Мутант. Полное погружение, Виктор Казначеев,4.5,3259,4.3,15 488,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Мутант. Полное погружение - Виктор Казначеев.txt
738,Дан. Книга вторая., Хорт Игорь Анатольевич,4.2,1352,4.3,2102,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Дан. Книга вторая. - Хорт Игорь Анатольевич.txt
739,Серебряков. Система 2. Восьмой уровень. Часть 2, Неизвестный,4.8,14,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Серебряков. Система 2. Восьмой уровень. Часть 2 - Неизвестный.txt
740,Кровное родство., Сергей Георгиевич Обатуров,4.4,33,3.7,6,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Кровное родство. - Сергей Георгиевич Обатуров.txt
741,Рекрут, Алекс Каменев,4.1,322,3.4,22,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Рекрут - Алекс Каменев.txt
742,Иной Мир. Пришествие Тупо Бога, Виталий Ильченко,4.6,400,4.5,2,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Иной Мир. Пришествие Тупо Бога - Виталий Ильченко.txt
743,Нереалия. Книга первая Битва за Смоленск (СИ), Сергей Александрович Матвеев,None,None,3.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Нереалия. Книга первая Битва за Смоленск (СИ) - Сергей Александрович Матвеев.txt
744,Реалрпг. Маг Света 2, Дракмир,5.0,671,4.4,6,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Реалрпг. Маг Света 2 - Дракмир.txt
745,Темный век. Трактирщик, Александр Владимирович Воронков,4.3,60,4.2,22,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Темный век. Трактирщик - Александр Владимирович Воронков.txt
746,Играет Чемпион, Антон Дмитриевич Емельянов & Сергей Анатольевич Савинов,4.6,7,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Играет Чемпион - Антон Дмитриевич Емельянов & Сергей Анатольевич Савинов.txt
747,Восьмое измерение. Лимб., Арчи Вар,4.8,11,5.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Восьмое измерение. Лимб. - Арчи Вар.txt
748,Иван Грозный. Книга 3. Невская твердыня, Валентин Иванович Костылев,4.1,230,4.1,30,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Иван Грозный. Книга 3. Невская твердыня - Валентин Иванович Костылев.txt
749,Мир Вальдиры. Вторая трилогия, Руслан Алексеевич Михайлов,4.8,71,4.6,18,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Мир Вальдиры. Вторая трилогия - Руслан Алексеевич Михайлов.txt
750,Звёздное скопление. Курс вторжения, Алексей Герасимов,4.1,20,3.7,12,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Звёздное скопление. Курс вторжения - Алексей Герасимов.txt
751,Последний храм. Тёмными тропами (СИ), Арт Богданов,4.5,80,3.0,4,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Последний храм. Тёмными тропами (СИ) - Арт Богданов.txt
752,Катар, Игорь Анатольевич Хорт,4.8,198,4.4,234,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Катар - Игорь Анатольевич Хорт.txt
753,Изгои звёздной империи 1. СКАЙТАЙМ, Алекс Нагорный,3.6,196,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Изгои звёздной империи 1. СКАЙТАЙМ - Алекс Нагорный.txt
754,Не время для игр, Антон Текшин,4.4,25,4.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Не время для игр - Антон Текшин.txt
755,Исход. Начало, Виталий,3.9,65,3.2,7,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Исход. Начало - Виталий.txt
756,"Сборник _Штирлиц, он же Исаев_ ", Юлиан Семенов,4.5,315,4.5,856,"/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Сборник _Штирлиц, он же Исаев_ - Юлиан Семенов.txt"
757,ГоТМ. Книга 1, Вячеслав Васильев & Денис Росс,4.0,17,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/ГоТМ. Книга 1 - Вячеслав Васильев & Денис Росс.txt
758,Красный цветок (сборник), Всеволод Михайлович Гаршин,3.9,9,4.2,114,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Красный цветок (сборник) - Всеволод Михайлович Гаршин.txt
759,Свободные Миры. Змеиные войны, Анатолий Натанович Арсеньев,4.2,50,4.0,2,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Свободные Миры. Змеиные войны - Анатолий Натанович Арсеньев.txt
760,Бард. Альбом третий_ Вестники рока, Гедеон,4.7,1141,4.7,14 279,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Бард. Альбом третий_ Вестники рока - Гедеон.txt
761,Смертельная Игра. Новичок, Шепелев Владислав,4.7,1629,4.4,8455,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Смертельная Игра. Новичок - Шепелев Владислав.txt
762,Лунная радуга. Волшебный локон Ампары, Сергей Павлов,4.5,10,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Лунная радуга. Волшебный локон Ампары - Сергей Павлов.txt
763,Другая сторона, Милослав Князев,4.5,173,3.9,16,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Другая сторона - Милослав Князев.txt
764,Путь домой, Валерий Пылаев,5.0,64,4.2,26,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Путь домой - Валерий Пылаев.txt
765,Хроники Реликта. Том 1, Василий Головачев,4.3,91,4.4,16,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Хроники Реликта. Том 1 - Василий Головачев.txt
766,Посольство, Сергей Баунт,4.3,51,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Посольство - Сергей Баунт.txt
767,Имперский вояж. Дилогия, Олег Викторович Данильченко,4.6,213,4.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Имперский вояж. Дилогия - Олег Викторович Данильченко.txt
768,Другая сторона. Этап 1_ Столкновение (СИ), Валери Кириллычева & Аррантарра,4.7,67,4.6,44,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Другая сторона. Этап 1_ Столкновение (СИ) - Валери Кириллычева & Аррантарра.txt
769,"Малыш Гури. Виват, император… ", Юрий Николаевич Москаленко,4.4,239,3.9,6,"/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Малыш Гури. Виват, император… - Юрий Николаевич Москаленко.txt"
770,Мир Карика 4. Настоящая магия, Антон Емельянов и Сергей Савинов,4.8,510,4.3,133,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Мир Карика 4. Настоящая магия - Антон Емельянов и Сергей Савинов.txt
771,Система Возвышения. Том Третий. Эволюция. Часть 2, Николай Раздоров,5.0,1,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Система Возвышения. Том Третий. Эволюция. Часть 2 - Николай Раздоров.txt
772,Начало пути. Ступень 1. Обретение магии, Юрий Львович Киселев,4.3,780,3.9,8,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Начало пути. Ступень 1. Обретение магии - Юрий Львович Киселев.txt
773,Безграничный мир. Раскол., Павел Витальевич Князев,4.3,255,3.7,68,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Безграничный мир. Раскол. - Павел Витальевич Князев.txt
774,Некомант 3, Сергей Геннадьевич Кириллов,4.9,17,4.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Некомант 3 - Сергей Геннадьевич Кириллов.txt
775,Ник_ Программист. Снова юзер. Продвинутый юзер, Анджей Ясинский,4.0,57,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Ник_ Программист. Снова юзер. Продвинутый юзер - Анджей Ясинский.txt
776,Миры Жизни. Мастерство Игры (СИ), Денис Андреевич Медведев,4.7,412,4.3,45,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Миры Жизни. Мастерство Игры (СИ) - Денис Андреевич Медведев.txt
777,Эпоха Войн. Том 6, Максим Грек,4.1,1033,4.5,391,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Эпоха Войн. Том 6 - Максим Грек.txt
778,Живые и мертвые. Книга 1, Константин Михайлович Симонов,4.8,477,4.7,1089,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Живые и мертвые. Книга 1 - Константин Михайлович Симонов.txt
779,Minecraft_ Авария, Трейси Батист,4.2,48,3.2,11,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Minecraft_ Авария - Трейси Батист.txt
780,Первый шаг и в_., Владимир Сергеевич Синицын,3.8,61,4.6,44,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Первый шаг и в_. - Владимир Сергеевич Синицын.txt
781,Соленый арбуз, Владимир Орлов,3.8,4,3.7,30,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Соленый арбуз - Владимир Орлов.txt
782,Два талисмана, Ольга Голотвина,4.7,19,4.5,90,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Два талисмана - Ольга Голотвина.txt
783,Послушник. Прибытие, Олег Владимирович Евдокимов,4.3,69,4.0,9,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Послушник. Прибытие - Олег Владимирович Евдокимов.txt
784,Игра б@гов, Игорь Углов,3.9,21,5.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Игра б@гов - Игорь Углов.txt
785,Отработанный материал, Ерофей Трофимов & Андрей Земляной,4.4,73,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Отработанный материал - Ерофей Трофимов & Андрей Земляной.txt
786,Налево пойдешь_, Милослав Князев,4.2,109,2.8,5,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Налево пойдешь_ - Милослав Князев.txt
787,Война. Диверсанты Житницы, Алексей Михайлович Трефилов,4.8,1284,4.4,981,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Война. Диверсанты Житницы - Алексей Михайлович Трефилов.txt
788,Resistance. Ураганный огонь, Уильям Дитц,4.4,661,4.3,20,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Resistance. Ураганный огонь - Уильям Дитц.txt
789,Плутония. Земля Санникова, Владимир Афанасьевич Обручев,4.6,53,4.3,777,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Плутония. Земля Санникова - Владимир Афанасьевич Обручев.txt
790,Собственность Норта, Константин Келлер,4.7,6,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Собственность Норта - Константин Келлер.txt
791,Прогулка по галактикам. Наследник Сеятелей, Виктор Иванович Резниченко,4.3,1560,4.4,245,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Прогулка по галактикам. Наследник Сеятелей - Виктор Иванович Резниченко.txt
792,Худший из миров. Книга 6, Валерий Иванович Софроний,4.3,193,3.7,62,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Худший из миров. Книга 6 - Валерий Иванович Софроний.txt
793,Путь Шамана. Шахматы Кармадонта, Василий Михайлович Маханенко,4.7,854,4.3,376,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Путь Шамана. Шахматы Кармадонта - Василий Михайлович Маханенко.txt
794,Темный континент., Алексей Осадчук,4.8,213,4.1,33,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Темный континент. - Алексей Осадчук.txt
795,Прогрессор поневоле. Трилогия, Сергей Георгиевич Обатуров,3.8,7,3.5,2,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Прогрессор поневоле. Трилогия - Сергей Георгиевич Обатуров.txt
796,Безграничный мир. Рейд., Павел Витальевич Князев,4.3,255,3.7,68,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Безграничный мир. Рейд. - Павел Витальевич Князев.txt
797,Мрачность _2. Паства, Элиан Тарс,4.7,203,4.0,19,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Мрачность _2. Паства - Элиан Тарс.txt
798,Беглецы. Близнецы, Виктория Гетто,4.7,31,4.8,74,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Беглецы. Близнецы - Виктория Гетто.txt
799,Книга вторая. Контратака, Николай Башилов,4.9,104,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Книга вторая. Контратака - Николай Башилов.txt
800,Колос 1. Раб, Тимур Сабаев,4.3,232,3.1,20,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Колос 1. Раб - Тимур Сабаев.txt
801,Хризалида. Книга первая. Путь Предвестника, Джон Голд,4.4,17,3.3,78,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Хризалида. Книга первая. Путь Предвестника - Джон Голд.txt
802,Волк. Юность, Виктория Гетто & Александр Михайлович Авраменко,4.8,888,4.5,6762,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Волк. Юность - Виктория Гетто & Александр Михайлович Авраменко.txt
803,На дорогах Империи, Андрей,4.9,8,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/На дорогах Империи - Андрей.txt
804,Тишина. Стройка века, Андрей Юрьевич Иванов,4.8,1101,4.4,698,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Тишина. Стройка века - Андрей Юрьевич Иванов.txt
805,Самозванец по особому поручению, Антон Демченко,4.6,137,4.5,7,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Самозванец по особому поручению - Антон Демченко.txt
806,Зверобои фронтира, Александр Белый,4.1,62,4.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Зверобои фронтира - Александр Белый.txt
807,Игры Огня, Алексей Калинин,3.7,3,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Игры Огня - Алексей Калинин.txt
